time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,breakdown_topic,breakdown,new_ehc_plans,mainstream_la_maintained,mainstream_la_maintained_resourced_provision,mainstream_la_maintained_senunit,mainstream_academy,mainstream_academy_resourced_provision,mainstream_academy_senunit,mainstream_free_school,mainstream_free_school_resourced_provision,mainstream_free_school_senunit,mainstream_independent,mainstream_total,mainstream_total_pc,special_la_maintained,special_academy_free,special_independent,special_non_maintained,special_total,special_total_pc,ap_pru_academy,ap_pru_free_school,ap_pru_la_maintained,ap_pru_total,AP_PRU_total_pc,general_fe_tertiary_colleges,specialist_post_16_institutions,ukrlp_provider,fe_total,fe_total_pc,elective_home_education,other_arrangements_la,other_arrangements_parents,online_provider,w_settings,other_schools,other_placement_settings,neet,neet_ntci,neet_other,neet_other_csa,ed_elsewhere,ed_elsewhere_pc,nm_early_years,nm_early_years_pc,placement_unknown,placement_unknown_pc,await_prov_2022,perm_ex_2022
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000013,342,St. Helens,New EHC plans,New EHC plans,234,126,20,0,21,0,0,0,0,0,4,171,73.1,25,0,10,2,37,15.8,0,0,3,3,1.3,19,1,x,20,8.5,x,0,0,x,x,x,0,x,x,x,x,0,0,3,1.3,x,x,0,0
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000014,343,Sefton,New EHC plans,New EHC plans,318,118,5,34,34,0,8,1,0,0,1,201,63.2,69,0,13,8,90,28.3,0,0,3,3,0.9,12,0,x,12,3.8,x,0,1,x,x,x,0,x,x,x,x,1,0.3,11,3.5,x,x,0,0
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000015,344,Wirral,New EHC plans,New EHC plans,297,82,0,1,27,0,0,0,0,0,3,113,38,137,0,3,4,144,48.5,0,0,0,0,0,30,4,x,34,11.4,x,0,0,x,x,x,4,x,x,x,x,0,0,1,0.3,x,x,0,1
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000001,350,Bolton,New EHC plans,New EHC plans,350,146,0,0,60,0,0,3,0,0,0,209,59.7,46,37,18,2,103,29.4,19,0,0,19,5.4,11,0,x,11,3.1,x,2,0,x,x,x,0,x,x,x,x,6,1.7,0,0,x,x,2,0
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000002,351,Bury,New EHC plans,New EHC plans,213,108,2,0,32,4,0,0,0,0,5,151,70.9,12,6,14,0,32,15,0,0,9,9,4.2,11,0,x,11,5.2,x,1,0,x,x,x,0,x,x,x,x,7,3.3,1,0.5,x,x,2,0
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000003,352,Manchester,New EHC plans,New EHC plans,665,191,4,0,158,3,0,10,0,0,3,369,55.5,96,32,4,0,132,19.8,0,0,20,20,3,26,1,x,27,4.1,x,1,0,x,x,x,0,x,x,x,x,7,1.1,3,0.5,x,x,107,0
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000004,353,Oldham,New EHC plans,New EHC plans,305,126,0,0,70,1,0,0,0,0,5,202,66.2,0,48,7,0,55,18,4,0,0,4,1.3,15,0,x,15,4.9,x,7,0,x,x,x,0,x,x,x,x,8,2.6,17,5.6,x,x,4,0
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000005,354,Rochdale,New EHC plans,New EHC plans,293,169,5,0,13,0,0,0,0,0,1,188,64.2,57,0,8,2,67,22.9,0,0,0,0,0,7,0,x,7,2.4,x,0,0,x,x,x,0,x,x,x,x,1,0.3,28,9.6,x,x,2,0
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000006,355,Salford,New EHC plans,New EHC plans,293,53,10,0,9,1,0,0,0,0,4,77,26.3,72,116,5,2,195,66.6,0,0,2,2,0.7,0,0,x,0,0,x,2,0,x,x,x,0,x,x,x,x,2,0.7,12,4.1,x,x,5,0
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000007,356,Stockport,New EHC plans,New EHC plans,275,154,6,8,30,2,0,0,0,0,1,201,73.1,33,1,9,2,45,16.4,0,0,10,10,3.6,7,0,x,7,2.5,x,0,0,x,x,x,0,x,x,x,x,2,0.7,10,3.6,x,x,0,0
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000008,357,Tameside,New EHC plans,New EHC plans,409,135,0,0,119,0,0,3,0,0,2,259,63.3,66,19,13,2,100,24.4,0,0,9,9,2.2,7,8,x,15,3.7,x,2,0,x,x,x,3,x,x,x,x,2,0.5,21,5.1,x,x,0,0
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000009,358,Trafford,New EHC plans,New EHC plans,328,164,0,7,41,0,5,4,0,0,5,226,68.9,37,37,4,1,79,24.1,0,0,6,6,1.8,4,0,x,4,1.2,x,3,0,x,x,x,0,x,x,x,x,8,2.4,4,1.2,x,x,1,0
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000010,359,Wigan,New EHC plans,New EHC plans,254,135,0,0,22,0,0,1,0,0,0,158,62.2,60,0,13,2,75,29.5,9,0,0,9,3.5,3,2,x,5,2,x,0,1,x,x,x,2,x,x,x,x,1,0.4,0,0,x,x,4,0
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E06000006,876,Halton,New EHC plans,New EHC plans,181,53,24,0,18,14,0,6,0,0,0,115,63.5,13,19,13,1,46,25.4,0,0,1,1,0.6,6,0,x,6,3.3,x,0,2,x,x,x,0,x,x,x,x,6,3.3,7,3.9,x,x,0,0
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E06000007,877,Warrington,New EHC plans,New EHC plans,103,29,0,8,14,1,17,0,0,0,1,70,68,25,0,4,1,30,29.1,0,0,1,1,1,1,0,x,1,1,x,0,0,x,x,x,0,x,x,x,x,1,1,0,0,x,x,0,0
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E10000017,888,Lancashire,New EHC plans,New EHC plans,1005,529,0,1,55,0,0,0,0,0,2,587,58.4,215,21,50,0,286,28.5,2,0,44,46,4.6,21,0,x,21,2.1,x,2,7,x,x,x,0,x,x,x,x,9,0.9,48,4.8,x,x,8,0
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E06000008,889,Blackburn with Darwen,New EHC plans,New EHC plans,95,52,4,0,4,0,0,5,0,0,0,65,68.4,19,2,7,0,28,29.5,0,0,0,0,0,1,0,x,1,1.1,x,0,0,x,x,x,0,x,x,x,x,0,0,1,1.1,x,x,0,0
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E06000009,890,Blackpool,New EHC plans,New EHC plans,186,60,0,0,34,0,0,1,0,0,1,96,51.6,27,23,17,0,67,36,0,0,5,5,2.7,10,0,x,10,5.4,x,0,0,x,x,x,3,x,x,x,x,3,1.6,2,1.1,x,x,0,0
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E06000049,895,Cheshire East,New EHC plans,New EHC plans,521,165,1,0,198,10,0,5,0,0,8,387,74.3,20,31,15,1,67,12.9,0,4,5,9,1.7,9,0,x,9,1.7,x,1,0,x,x,x,0,x,x,x,x,4,0.8,40,7.7,x,x,5,0
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E06000050,896,Cheshire West and Chester,New EHC plans,New EHC plans,307,146,6,0,63,5,0,2,0,0,0,222,72.3,60,4,2,1,67,21.8,0,0,2,2,0.7,6,0,x,6,2,x,2,2,x,x,x,0,x,x,x,x,5,1.6,5,1.6,x,x,0,0
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E10000006,909,Cumbria,New EHC plans,New EHC plans,507,317,1,0,63,1,0,7,0,0,0,389,76.7,11,7,16,0,34,6.7,0,0,18,18,3.6,11,0,x,11,2.2,x,2,1,x,x,x,0,x,x,x,x,8,1.6,45,8.9,x,x,2,0
2019,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000016,370,Barnsley,New EHC plans,New EHC plans,202,46,0,0,99,0,0,0,0,0,0,145,71.8,0,19,6,0,25,12.4,1,0,0,1,0.5,7,1,x,8,4,x,1,0,x,x,x,0,x,x,x,x,5,2.5,15,7.4,x,x,3,0
2019,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000017,371,Doncaster,New EHC plans,New EHC plans,218,55,1,0,111,0,0,1,0,0,0,168,77.1,5,12,15,1,33,15.1,0,1,5,6,2.8,3,4,x,7,3.2,x,1,0,x,x,x,0,x,x,x,x,2,0.9,1,0.5,x,x,0,1
2019,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000018,372,Rotherham,New EHC plans,New EHC plans,303,63,0,7,125,0,0,0,0,0,0,195,64.4,12,20,4,0,36,11.9,0,0,34,34,11.2,11,4,x,15,5,x,0,0,x,x,x,5,x,x,x,x,8,2.6,5,1.7,x,x,5,0
2019,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000019,373,Sheffield,New EHC plans,New EHC plans,397,89,8,0,153,12,0,0,0,0,1,263,66.2,54,1,1,0,56,14.1,0,0,9,9,2.3,9,0,x,9,2.3,x,0,0,x,x,x,9,x,x,x,x,5,1.3,33,8.3,x,x,13,0
2019,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000032,380,Bradford,New EHC plans,New EHC plans,427,159,19,0,102,23,0,5,0,0,5,313,73.3,27,28,8,0,63,14.8,0,0,1,1,0.2,11,0,x,11,2.6,x,0,0,x,x,x,6,x,x,x,x,0,0,15,3.5,x,x,18,0
2019,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000033,381,Calderdale,New EHC plans,New EHC plans,169,80,1,0,46,0,0,0,0,0,2,129,76.3,14,0,6,1,21,12.4,1,0,0,1,0.6,2,0,x,2,1.2,x,0,2,x,x,x,1,x,x,x,x,2,1.2,12,7.1,x,x,1,0
