time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,breakdown_topic,breakdown,num_new_plans,pc_new_plans
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,Unknown,2,0.81300813
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,White and Asian,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,White and Black African,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,White and Black Caribbean,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Sex,Female,85,34.55284553
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Sex,Male,161,65.44715447
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Sex,Not known,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Total,Total,246,100
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity major,Asian/Asian British,52,10.72164948
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity major,Black/African/Caribbean/Black British,34,7.010309278
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity major,Mixed/Multiple ethnic groups,27,5.567010309
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity major,Other ethnic group,13,2.680412371
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity major,Unknown,35,7.216494845
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity major,White,324,66.80412371
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,African,29,5.979381443
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,Any other Asian background,15,3.092783505
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,Any other Black/African/Caribbean background,5,1.030927835
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,Any other Mixed/Multiple ethnic background,16,3.298969072
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,Any other White background,13,2.680412371
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,Any other ethnic group,13,2.680412371
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,Bangladeshi,15,3.092783505
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,Caribbean,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,Chinese,2,0.412371134
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,English/Welsh/Scottish/Northern Irish/British,304,62.68041237
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,Gypsy/Roma,6,1.237113402
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,Indian,4,0.824742268
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,Irish,1,0.206185567
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,Irish traveller,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,Pakistani,16,3.298969072
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,Unknown,35,7.216494845
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,White and Asian,7,1.443298969
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,White and Black African,3,0.618556701
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Ethnicity minor,White and Black Caribbean,1,0.206185567
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Sex,Female,166,34.22680412
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Sex,Male,319,65.77319588
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Sex,Not known,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Total,Total,485,100
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity major,Asian/Asian British,3,1.470588235
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity major,Black/African/Caribbean/Black British,3,1.470588235
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity major,Mixed/Multiple ethnic groups,2,0.980392157
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity major,Other ethnic group,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity major,Unknown,22,10.78431373
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity major,White,174,85.29411765
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,African,2,0.980392157
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,Any other Asian background,1,0.490196078
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,Any other Black/African/Caribbean background,1,0.490196078
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,Any other Mixed/Multiple ethnic background,2,0.980392157
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,Any other White background,5,2.450980392
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,Any other ethnic group,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,Bangladeshi,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,Caribbean,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,Chinese,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,English/Welsh/Scottish/Northern Irish/British,169,82.84313725
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,Gypsy/Roma,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,Indian,1,0.490196078
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,Irish,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,Irish traveller,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,Pakistani,1,0.490196078
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,Unknown,22,10.78431373
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,White and Asian,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,White and Black African,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Ethnicity minor,White and Black Caribbean,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Sex,Female,67,32.84313725
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Sex,Male,137,67.15686275
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Sex,Not known,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Total,Total,204,100
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity major,Asian/Asian British,6,2.620087336
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity major,Black/African/Caribbean/Black British,3,1.310043668
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity major,Mixed/Multiple ethnic groups,4,1.746724891
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity major,Other ethnic group,2,0.873362445
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity major,Unknown,30,13.10043668
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity major,White,184,80.34934498
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,African,2,0.873362445
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,Any other Asian background,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,Any other Black/African/Caribbean background,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,Any other Mixed/Multiple ethnic background,2,0.873362445
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,Any other White background,1,0.436681223
