time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,age,ehcp_or_statement,num_new_plans,pc_new_plans
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000002,806,Middlesbrough,Under 5,Total,129,31.084337
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Age 11 to 15,EHCP,43,30.06993
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Age 11 to 15,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Age 11 to 15,Total,43,30.06993
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Age 16 to 19,EHCP,8,5.594406
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Age 16 to 19,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Age 16 to 19,Total,8,5.594406
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Age 20 to 25,EHCP,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Age 20 to 25,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Age 20 to 25,Total,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Age 5 to 10,EHCP,42,29.370629
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Age 5 to 10,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Age 5 to 10,Total,42,29.370629
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Total,EHCP,143,100
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Total,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Total,Total,143,100
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Under 5,EHCP,50,34.965035
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Under 5,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Under 5,Total,50,34.965035
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Age 11 to 15,EHCP,74,22.769231
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Age 11 to 15,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Age 11 to 15,Total,74,22.769231
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Age 16 to 19,EHCP,2,0.615385
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Age 16 to 19,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Age 16 to 19,Total,2,0.615385
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Age 20 to 25,EHCP,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Age 20 to 25,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Age 20 to 25,Total,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Age 5 to 10,EHCP,147,45.230769
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Age 5 to 10,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Age 5 to 10,Total,147,45.230769
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Total,EHCP,325,100
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Total,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Total,Total,325,100
