time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,dmo,dco,dmodcofunction
2024,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,N,N,z
2024,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,N,N,z
2024,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,N,N,z
2024,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,N,N,z
2024,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,N,N,z
2024,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,N,N,z
2024,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,N,N,z
