time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,age,ehcp_or_statement,num_caseload,pc_caseload,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Under 5,EHCP,75,5.03018,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Under 5,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Under 5,Total,75,5.03018,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Age 11 to 15,EHCP,852,40.96154,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Age 11 to 15,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Age 11 to 15,Total,852,40.96154,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Age 16 to 19,EHCP,338,16.25,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Age 16 to 19,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Age 16 to 19,Total,338,16.25,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Age 20 to 25,EHCP,37,1.77885,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Age 20 to 25,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Age 20 to 25,Total,37,1.77885,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Age 5 to 10,EHCP,700,33.65385,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Age 5 to 10,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Age 5 to 10,Total,700,33.65385,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Total,EHCP,2080,100,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Total,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Total,Total,2080,100,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Under 5,EHCP,153,7.35577,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Under 5,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Under 5,Total,153,7.35577,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Age 11 to 15,EHCP,406,39.57115,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Age 11 to 15,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Age 11 to 15,Total,406,39.57115,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Age 16 to 19,EHCP,213,20.76023,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Age 16 to 19,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Age 16 to 19,Total,213,20.76023,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Age 20 to 25,EHCP,33,3.21637,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Age 20 to 25,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Age 20 to 25,Total,33,3.21637,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Age 5 to 10,EHCP,330,32.16374,,,,,,,,
